vorhersagezeitpunkt;station_name;ts;value_q;dimension
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 19:00;4.6253;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 19:00;1.2467;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 19:00;11.713;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 19:00;1.3885;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 20:00;7.2384;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 20:00;11.034;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 20:00;12.363;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 20:00;5.5636;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 20:00;0.51685;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 20:00;0.30763;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 20:00;29.031;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 20:00;5.1801;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 20:00;2.4032;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 20:00;3.9857;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 20:00;1.2758;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 20:00;30.202;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 20:00;4.6058;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 20:00;1.2409;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 20:00;11.92;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 20:00;1.3803;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 21:00;7.2944;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 21:00;11.073;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 21:00;12.247;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 21:00;5.5095;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 21:00;0.50961;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 21:00;0.30794;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 21:00;28.719;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 21:00;5.1554;cbm/s
